Start_Time,Start_Temp,End_Time,End_Temp,Time (s),T_min (C),T_max (C),T_ave (C)
0.0,200.0,14400.0,300.0,153.9,200.0,201.03,200.09
,,,,293.9,200.0,201.98,200.23
,,,,433.9,200.0,202.94,200.4
,,,,583.9,200.0,203.97,200.61
,,,,723.9,200.01,204.93,200.82
,,,,873.9,200.02,205.97,201.08
,,,,1013.9,200.03,206.93,201.33
,,,,1153.9,200.06,207.89,201.59
,,,,1303.9,200.1,208.92,201.9
,,,,1443.9,200.15,209.89,202.19
,,,,1593.9,200.22,210.92,202.52
,,,,1733.9,200.29,211.88,202.84
,,,,1873.9,200.38,212.85,203.17
,,,,2023.9,200.49,213.88,203.54
,,,,2163.9,200.6,214.85,203.89
,,,,2313.9,200.74,215.88,204.28
,,,,2453.9,200.88,216.85,204.66
,,,,2593.9,201.04,217.81,205.05
,,,,2743.9,201.22,218.84,205.47
,,,,2883.9,201.41,219.81,205.88
,,,,3033.9,201.62,220.84,206.32
,,,,3173.9,201.83,221.81,206.75
,,,,3313.9,202.05,222.78,207.18
,,,,3463.9,202.3,223.81,207.66
,,,,3603.9,202.55,224.78,208.11
,,,,3753.9,202.83,225.81,208.61
,,,,3893.9,203.1,226.78,209.08
,,,,4033.9,203.38,227.74,209.55
,,,,4183.9,203.7,228.78,210.08
,,,,4323.9,204.01,229.75,210.57
,,,,4473.9,204.35,230.78,211.11
,,,,4613.9,204.68,231.75,211.62
,,,,4753.9,205.02,232.71,212.14
,,,,4903.9,205.39,233.75,212.71
,,,,5043.9,205.75,234.72,213.24
,,,,5193.9,206.15,235.75,213.82
,,,,5333.9,206.53,236.72,214.37
,,,,5473.9,206.93,237.69,214.93
,,,,5623.9,207.36,238.72,215.53
,,,,5763.9,207.77,239.69,216.1
,,,,5913.9,208.22,240.73,216.72
,,,,6053.9,208.65,241.7,217.31
,,,,6193.9,209.09,242.66,217.9
,,,,6343.9,209.57,243.7,218.54
,,,,6483.9,210.03,244.67,219.14
,,,,6633.9,210.52,245.71,219.78
,,,,6773.9,210.99,246.68,220.37
,,,,6913.9,211.47,247.65,220.98
,,,,7063.9,211.98,248.68,221.63
,,,,7203.9,212.47,249.65,222.25
,,,,7353.9,213.0,250.69,222.92
,,,,7493.9,213.51,251.66,223.55
,,,,7633.9,214.02,252.63,224.19
,,,,7783.9,214.57,253.66,224.88
,,,,7923.9,215.1,254.63,225.53
,,,,8073.9,215.67,255.67,226.23
,,,,8213.9,216.2,256.64,226.89
,,,,8353.9,216.75,257.61,227.55
,,,,8503.9,217.34,258.64,228.27
,,,,8643.9,217.9,259.61,228.95
,,,,8793.9,218.51,260.65,229.68
,,,,8933.9,219.08,261.62,230.36
,,,,9073.9,219.66,262.59,231.05
,,,,9223.9,220.29,263.63,231.79
,,,,9363.9,220.88,264.6,232.49
,,,,9513.9,221.52,265.63,233.25
,,,,9653.9,222.12,266.6,233.95
,,,,9793.9,222.73,267.57,234.67
,,,,9943.9,223.39,268.61,235.43
,,,,10084.0,224.02,269.58,236.16
,,,,10234.0,224.69,270.62,236.93
,,,,10374.0,225.32,271.59,237.66
,,,,10514.0,225.96,272.56,238.39
,,,,10664.0,226.65,273.6,239.18
,,,,10804.0,227.3,274.56,239.93
,,,,10954.0,228.01,275.6,240.72
,,,,11094.0,228.67,276.57,241.47
,,,,11234.0,229.33,277.54,242.22
,,,,11384.0,230.05,278.58,243.03
,,,,11524.0,230.73,279.55,243.79
,,,,11674.0,231.46,280.59,244.61
,,,,11814.0,232.14,281.56,245.38
,,,,11954.0,232.83,282.53,246.15
,,,,12104.0,233.58,283.57,246.98
,,,,12244.0,234.28,284.54,247.75
,,,,12394.0,235.03,285.58,248.59
,,,,12534.0,235.74,286.55,249.37
,,,,12674.0,236.45,287.52,250.16
,,,,12824.0,237.22,288.56,251.0
,,,,12964.0,237.94,289.53,251.79
,,,,13114.0,238.71,290.58,252.63
,,,,13254.0,239.42,291.55,253.4
,,,,13394.0,240.12,292.52,254.17
,,,,13544.0,240.88,293.56,255.0
,,,,13684.0,241.6,294.53,255.78
,,,,13834.0,242.37,295.57,256.62
,,,,13974.0,243.09,296.54,257.4
,,,,14114.0,243.81,297.51,258.19
,,,,14264.0,244.59,298.55,259.04
,,,,14400.0,245.3,299.49,259.81
